Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|Q9Y2X7|GIT1_HUMAN	Q9Y2X7	GIT1_HUMAN	GIT1	761	23.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	ARF GTPase-activating protein GIT1 	1.0000	0.9990	15	27	24	27	15	8	4	15	7	2	15	8	4	11931576	22039429	5407140	11931576	22039429	3528960	11931576	22039429	5407140		
sp|Q9Y2Z0|SGT1_HUMAN	Q9Y2Z0	SGT1_HUMAN	SUGT1	365	51.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein SGT1 homolog 	1.0000	0.9990	16	27	27	27	13	10	4	13	10	4	13	10	4	34406936	10578647	8658588	34406936	10578647	8658588	34406936	10578647	8658588		
sp|Q9Y305|ACOT9_HUMAN	Q9Y305	ACOT9_HUMAN	ACOT9	439	27.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 9, mitochondrial 	1.0000	0.9990	11	20	20	20	9	7	4	9	7	4	9	7	4	10568184	15411842	8447499	10568184	15411842	8447499	10568184	15411842	8447499		
sp|Q9Y315|DEOC_HUMAN	Q9Y315	DEOC_HUMAN	DERA	318	28.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribose-phosphate aldolase 	1.0000	0.9990	8	11	11	11	9	1	1	9	1	1	9	1	1	11320268	512747	1840797	11320268	512747	1840797	11320268	512747	1840797		
sp|Q9Y320|TMX2_HUMAN	Q9Y320	TMX2_HUMAN	TMX2	296	13.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-related transmembrane protein 2 	1.0000	0.9990	4	6	6	6	4	2	0	4	2	0	4	2	0	11011680	1514128	     0	11011680	1514128	     0	11011680	1514128	     0		
sp|Q9Y333|LSM2_HUMAN	Q9Y333	LSM2_HUMAN	LSM2	95	68.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm2 	1.0000	0.9990	5	8	8	8	5	0	3	5	0	3	5	0	3	18372176	     0	7073095	18372176	     0	7073095	18372176	     0	7073095		
sp|Q9Y342|PLLP_HUMAN	Q9Y342	PLLP_HUMAN	PLLP	182	31.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plasmolipin 	1.0000	0.9990	4	22	22	22	6	13	3	6	13	3	6	13	3	22424024	13368547	3356210	22424024	13368547	3356210	22424024	13368547	3356210		
sp|Q9Y371|SHLB1_HUMAN	Q9Y371	SHLB1_HUMAN	SH3GLB1	365	27.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endophilin-B1 	1.0000	0.9990	12	20	20	23	12	4	4	12	4	4	13	6	4	34798355	19334609	20612272	34798355	19334609	20612272	40160537	51330607	20612272		
sp|Q9Y376|CAB39_HUMAN	Q9Y376	CAB39_HUMAN	CAB39	341	38.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-binding protein 39 	1.0000	0.9990	14	34	26	34	14	14	6	11	11	4	14	14	6	30961910	41098192	32121235	29935785	39272242	27057411	30961910	41098192	32121235		
sp|Q9Y383|LC7L2_HUMAN	Q9Y383	LC7L2_HUMAN	LUC7L2	392	27.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative RNA-binding protein Luc7-like 2 	1.0000	0.9990	9	22	16	22	8	4	10	7	3	6	8	4	10	32467486	20976554	56466656	18052194	20358204	27750768	32467486	20976554	56466656		
sp|Q9Y394|DHRS7_HUMAN	Q9Y394	DHRS7_HUMAN	DHRS7	339	43.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dehydrogenase/reductase SDR family member 7 	1.0000	0.9990	15	37	37	37	22	6	9	22	6	9	22	6	9	52756726	20439887	24415716	52756726	20439887	24415716	52756726	20439887	24415716		
sp|Q9Y3A3|PHOCN_HUMAN	Q9Y3A3	PHOCN_HUMAN	MOB4	225	17.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	MOB-like protein phocein 	1.0000	0.9990	3	4	4	4	3	1	0	3	1	0	3	1	0	11992952	5230397	     0	11992952	5230397	     0	11992952	5230397	     0		
sp|Q9Y3A5|SBDS_HUMAN	Q9Y3A5	SBDS_HUMAN	SBDS	250	64.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosome maturation protein SBDS 	1.0000	0.9990	17	38	38	38	19	10	9	19	10	9	19	10	9	68053594	37880289	41482890	68053594	37880289	41482890	68053594	37880289	41482890		
sp|Q9Y3A6|TMED5_HUMAN	Q9Y3A6	TMED5_HUMAN	TMED5	229	17.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane emp24 domain-containing protein 5 	1.0000	0.9990	3	14	14	14	4	4	6	4	4	6	4	4	6	12032188	1272080	4858946	12032188	1272080	4858946	12032188	1272080	4858946		
sp|Q9Y3B3|TMED7_HUMAN	Q9Y3B3	TMED7_HUMAN	TMED7	224	18.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane emp24 domain-containing protein 7 	1.0000	0.9990	4	18	18	18	6	3	9	6	3	9	6	3	9	38193625	27408701	30647394	38193625	27408701	30647394	38193625	27408701	30647394		
sp|Q9Y3B4|SF3B6_HUMAN	Q9Y3B4	SF3B6_HUMAN	SF3B6	125	34.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor 3B subunit 6 	1.0000	0.9990	4	13	13	13	4	4	5	4	4	5	4	4	5	17678662	6922423	9283566	17678662	6922423	9283566	17678662	6922423	9283566		
sp|Q9Y3B7|RM11_HUMAN	Q9Y3B7	RM11_HUMAN	MRPL11	192	16.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L11, mitochondrial 	1.0000	0.9990	3	3	3	3	1	1	1	1	1	1	1	1	1	1079818	2737520	1634983	1079818	2737520	1634983	1079818	2737520	1634983		
sp|Q9Y3B8|ORN_HUMAN	Q9Y3B8	ORN_HUMAN	REXO2	237	21.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Oligoribonuclease, mitochondrial 	1.0000	0.9990	4	7	7	7	4	3	0	4	3	0	4	3	0	22348627	3766276	     0	22348627	3766276	     0	22348627	3766276	     0		
sp|Q9Y3C0|WASC3_HUMAN	Q9Y3C0	WASC3_HUMAN	WASHC3	194	19.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	WASH complex subunit 3 	1.0000	0.9990	3	6	6	6	1	1	4	1	1	4	1	1	4	1115094	896581	3267694	1115094	896581	3267694	1115094	896581	3267694		
sp|Q9Y3C6|PPIL1_HUMAN	Q9Y3C6	PPIL1_HUMAN	PPIL1	166	39.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase-like 1 	1.0000	0.9990	6	14	14	14	7	3	4	7	3	4	7	3	4	38810492	11570822	19259561	38810492	11570822	19259561	38810492	11570822	19259561		
sp|Q9Y3C8|UFC1_HUMAN	Q9Y3C8	UFC1_HUMAN	UFC1	167	24.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-fold modifier-conjugating enzyme 1 	1.0000	0.9990	5	15	15	15	6	5	4	6	5	4	6	5	4	34438204	16131114	23375870	34438204	16131114	23375870	34438204	16131114	23375870		
sp|Q9Y3D6|FIS1_HUMAN	Q9Y3D6	FIS1_HUMAN	FIS1	152	39.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial fission 1 protein 	1.0000	0.9990	6	42	42	42	10	15	17	10	15	17	10	15	17	258674103	393454059	38860591	258674103	393454059	38860591	258674103	393454059	38860591		
sp|Q9Y3D7|TIM16_HUMAN	Q9Y3D7	TIM16_HUMAN	PAM16	125	46.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM16 	1.0000	0.9990	5	7	7	7	2	3	2	2	3	2	2	3	2	4583800	10522986	14945382	4583800	10522986	14945382	4583800	10522986	14945382		
sp|Q9Y3E1|HDGR3_HUMAN	Q9Y3E1	HDGR3_HUMAN	HDGFL3	203	27.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatoma-derived growth factor-related protein 3 	1.0000	0.9990	5	13	13	17	5	4	4	5	4	4	6	5	6	39305139	8168410	8292278	39305139	8168410	8292278	72836608	37073252	65181904		
sp|Q9Y3E7|CHMP3_HUMAN	Q9Y3E7	CHMP3_HUMAN	CHMP3	222	20.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Charged multivesicular body protein 3 	1.0000	0.9990	5	10	10	10	3	4	3	3	4	3	3	4	3	14736014	13035136	20909606	14736014	13035136	20909606	14736014	13035136	20909606		
sp|Q9Y3F4|STRAP_HUMAN	Q9Y3F4	STRAP_HUMAN	STRAP	350	63.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine-threonine kinase receptor-associated protein 	1.0000	0.9990	17	67	67	67	24	24	19	24	24	19	24	24	19	36667429	58620656	21996557	36667429	58620656	21996557	36667429	58620656	21996557		
sp|Q9Y3I0|RTCB_HUMAN	Q9Y3I0	RTCB_HUMAN	RTCB	505	51.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-splicing ligase RtcB homolog 	1.0000	0.9990	23	70	70	70	25	21	24	25	21	24	25	21	24	47582993	33022168	47724721	47582993	33022168	47724721	47582993	33022168	47724721		
sp|Q9Y3I1|FBX7_HUMAN	Q9Y3I1	FBX7_HUMAN	FBXO7	522	8.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-box only protein 7 	1.0000	0.9990	4	8	8	8	5	3	0	5	3	0	5	3	0	6467595	4220143	     0	6467595	4220143	     0	6467595	4220143	     0		
sp|Q9Y3P9|RBGP1_HUMAN	Q9Y3P9	RBGP1_HUMAN	RABGAP1	1069	20.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab GTPase-activating protein 1 	1.0000	0.9990	19	21	21	21	17	4	0	17	4	0	17	4	0	17538773	13026836	     0	17538773	13026836	     0	17538773	13026836	     0		
sp|Q9Y3U8|RL36_HUMAN	Q9Y3U8	RL36_HUMAN	RPL36	105	31.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L36 	1.0000	0.9990	5	12	12	12	5	2	5	5	2	5	5	2	5	58314802	22160176	6281545	58314802	22160176	6281545	58314802	22160176	6281545		
sp|Q9Y3Y2|CHTOP_HUMAN	Q9Y3Y2	CHTOP_HUMAN	CHTOP	248	21.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromatin target of PRMT1 protein 	1.0000	0.9990	4	10	10	10	3	3	4	3	3	4	3	3	4	40547823	5642147	4204910	40547823	5642147	4204910	40547823	5642147	4204910		
sp|Q9Y3Z3|SAMH1_HUMAN	Q9Y3Z3	SAMH1_HUMAN	SAMHD1	626	55.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 	1.0000	0.9990	31	69	69	69	33	18	18	33	18	18	33	18	18	47466188	17977785	16277113	47466188	17977785	16277113	47466188	17977785	16277113		
sp|Q9Y450|HBS1L_HUMAN	Q9Y450	HBS1L_HUMAN	HBS1L	684	10.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	HBS1-like protein 	1.0000	0.9990	5	8	8	8	5	2	1	5	2	1	5	2	1	5035666	5065769	2834771	5035666	5065769	2834771	5035666	5065769	2834771		
sp|Q9Y490|TLN1_HUMAN	Q9Y490	TLN1_HUMAN	TLN1	2541	63.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Talin-1 	1.0000	0.9990	135	414	361	414	170	119	125	154	102	105	170	119	125	147335492	76825726	117510980	125453268	76825726	117510980	147335492	76825726	117510980		
sp|Q9Y4C2|TCAF1_HUMAN	Q9Y4C2	TCAF1_HUMAN	TCAF1	921	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	TRPM8 channel-associated factor 1 	1.0000	0.9990	4	4	4	4	2	1	1	2	1	1	2	1	1	1672519	386970	2456312	1672519	386970	2456312	1672519	386970	2456312		
sp|Q9Y4E1|WAC2C_HUMAN	Q9Y4E1	WAC2C_HUMAN	WASHC2C	1320	26.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	WASH complex subunit 2C 	1.0000	0.9990	23	2	2	38	2	0	0	2	0	0	18	12	8	1047347	     0	     0	1047347	     0	     0	20467688	7589542	13469720		
sp|Q9Y4E6|WDR7_HUMAN	Q9Y4E6	WDR7_HUMAN	WDR7	1490	10.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 7 	1.0000	0.9990	14	26	26	26	9	13	4	9	13	4	9	13	4	10684136	12142648	6926663	10684136	12142648	6926663	10684136	12142648	6926663		
sp|Q9Y4E8|UBP15_HUMAN	Q9Y4E8	UBP15_HUMAN	USP15	981	12.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 15 	1.0000	0.9990	10	11	10	11	8	1	2	7	1	2	8	1	2	23358196	2563765	4268638	23358196	2563765	4268638	23358196	2563765	4268638		
sp|Q9Y4F1|FARP1_HUMAN	Q9Y4F1	FARP1_HUMAN	FARP1	1045	18.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	FERM, ARHGEF and pleckstrin domain-containing protein 1 	1.0000	0.9990	18	37	37	37	18	14	5	18	14	5	18	14	5	15500236	16294477	10347446	15500236	16294477	10347446	15500236	16294477	10347446		
sp|Q9Y4F5|C170B_HUMAN	Q9Y4F5	C170B_HUMAN	CEP170B	1589	8.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Centrosomal protein of 170 kDa protein B 	1.0000	0.9990	10	11	11	13	4	7	0	4	7	0	5	8	0	6718667	10034585	     0	6718667	10034585	     0	6718667	10034585	     0		
sp|Q9Y4G6|TLN2_HUMAN	Q9Y4G6	TLN2_HUMAN	TLN2	2542	34.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Talin-2 	1.0000	0.9990	68	97	97	150	43	39	15	43	39	15	59	56	35	36979761	67885667	58286107	36979761	67885667	58286107	101809008	71089024	65702262		
sp|Q9Y4J8|DTNA_HUMAN	Q9Y4J8	DTNA_HUMAN	DTNA	743	27.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dystrobrevin alpha 	1.0000	0.9990	19	40	25	40	22	11	7	12	8	5	22	11	7	42636892	22733751	22648938	14849415	15164358	17819009	42636892	22733751	22648938		
sp|Q9Y4K3|TRAF6_HUMAN	Q9Y4K3	TRAF6_HUMAN	TRAF6	522	6.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	TNF receptor-associated factor 6 	1.0000	0.9990	3	5	5	5	2	2	1	2	2	1	2	2	1	1743900	274333	     0	1743900	274333	     0	1743900	274333	     0		
sp|Q9Y4P3|TBL2_HUMAN	Q9Y4P3	TBL2_HUMAN	TBL2	447	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transducin beta-like protein 2 	1.0000	0.9990	8	12	12	12	8	2	2	8	2	2	8	2	2	14626567	12682914	17083360	14626567	12682914	17083360	14626567	12682914	17083360		
sp|Q9Y4P8|WIPI2_HUMAN	Q9Y4P8	WIPI2_HUMAN	WIPI2	454	26.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat domain phosphoinositide-interacting protein 2 	1.0000	0.9990	8	12	12	12	8	3	1	8	3	1	8	3	1	10606379	5499590	492901	10606379	5499590	492901	10606379	5499590	492901		
sp|Q9Y4X5|ARI1_HUMAN	Q9Y4X5	ARI1_HUMAN	ARIH1	557	10.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase ARIH1 	1.0000	0.9990	6	10	10	10	5	2	3	5	2	3	5	2	3	14181876	2838378	3976642	14181876	2838378	3976642	14181876	2838378	3976642		
sp|Q9Y4Y9|LSM5_HUMAN	Q9Y4Y9	LSM5_HUMAN	LSM5	91	46.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm5 	1.0000	0.9990	3	16	16	16	5	3	8	5	3	8	5	3	8	43383949	4083603	5994782	43383949	4083603	5994782	43383949	4083603	5994782		
sp|Q9Y4Z0|LSM4_HUMAN	Q9Y4Z0	LSM4_HUMAN	LSM4	139	41.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm4 	1.0000	0.9990	7	17	17	17	7	5	5	7	5	5	7	5	5	27467002	4527054	9520007	27467002	4527054	9520007	27467002	4527054	9520007		
sp|Q9Y512|SAM50_HUMAN	Q9Y512	SAM50_HUMAN	SAMM50	469	36.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting and assembly machinery component 50 homolog 	1.0000	0.9990	15	31	31	31	15	11	5	15	11	5	15	11	5	25595154	15922557	10938507	25595154	15922557	10938507	25595154	15922557	10938507		
sp|Q9Y520|PRC2C_HUMAN	Q9Y520	PRC2C_HUMAN	PRRC2C	2896	8.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PRRC2C 	1.0000	0.9990	21	23	21	23	15	1	7	14	1	6	15	1	7	24767722	     0	19646268	24767722	     0	19646268	24767722	     0	19646268		
sp|Q9Y570|PPME1_HUMAN	Q9Y570	PPME1_HUMAN	PPME1	386	33.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase methylesterase 1 	1.0000	0.9990	10	25	25	25	11	9	5	11	9	5	11	9	5	16435958	20734533	28423826	16435958	20734533	28423826	16435958	20734533	28423826		
sp|Q9Y5B9|SP16H_HUMAN	Q9Y5B9	SP16H_HUMAN	SUPT16H	1047	16.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	FACT complex subunit SPT16 	1.0000	0.9990	15	20	20	20	15	2	3	15	2	3	15	2	3	24361600	4593495	7715224	24361600	4593495	7715224	24361600	4593495	7715224		
sp|Q9Y5J7|TIM9_HUMAN	Q9Y5J7	TIM9_HUMAN	TIMM9	89	65.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit Tim9 	1.0000	0.9990	5	10	10	10	4	3	3	4	3	3	4	3	3	31575126	27915870	18575722	31575126	27915870	18575722	31575126	27915870	18575722		
sp|Q9Y5K5|UCHL5_HUMAN	Q9Y5K5	UCHL5_HUMAN	UCHL5	329	27.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase isozyme L5 	1.0000	0.9990	5	6	6	6	5	1	0	5	1	0	5	1	0	10307287	459392	     0	10307287	459392	     0	10307287	459392	     0		
sp|Q9Y5K6|CD2AP_HUMAN	Q9Y5K6	CD2AP_HUMAN	CD2AP	639	10.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD2-associated protein 	1.0000	0.9990	5	6	6	6	5	1	0	5	1	0	5	1	0	7320816	1230598	     0	7320816	1230598	     0	7320816	1230598	     0		
sp|Q9Y5K8|VATD_HUMAN	Q9Y5K8	VATD_HUMAN	ATP6V1D	247	64.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	V-type proton ATPase subunit D 	1.0000	0.9990	17	62	62	62	15	32	15	15	32	15	15	32	15	56874412	150046508	23545029	56874412	150046508	23545029	56874412	150046508	23545029		
sp|Q9Y5L0|TNPO3_HUMAN	Q9Y5L0	TNPO3_HUMAN	TNPO3	923	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transportin-3 	1.0000	0.9990	11	17	17	17	8	6	3	8	6	3	8	6	3	12900088	7059765	4059975	12900088	7059765	4059975	12900088	7059765	4059975		
sp|Q9Y5L3|ENTP2_HUMAN	Q9Y5L3	ENTP2_HUMAN	ENTPD2	495	10.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ectonucleoside triphosphate diphosphohydrolase 2 	1.0000	0.9990	4	4	4	4	4	0	0	4	0	0	4	0	0	3007151	     0	     0	3007151	     0	     0	3007151	     0	     0		
sp|Q9Y5L4|TIM13_HUMAN	Q9Y5L4	TIM13_HUMAN	TIMM13	95	69.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit Tim13 	1.0000	0.9990	5	16	16	16	4	6	6	4	6	6	4	6	6	20560901	8024009	8177693	20560901	8024009	8177693	20560901	8024009	8177693		
sp|Q9Y5M8|SRPRB_HUMAN	Q9Y5M8	SRPRB_HUMAN	SRPRB	271	32.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal recognition particle receptor subunit beta 	1.0000	0.9990	7	16	16	16	8	3	5	8	3	5	8	3	5	10501000	9437865	15266215	10501000	9437865	15266215	10501000	9437865	15266215		
sp|Q9Y5P4|CERT_HUMAN	Q9Y5P4	CERT_HUMAN	CERT1	624	7.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ceramide transfer protein 	1.0000	0.9990	4	4	4	4	3	1	0	3	1	0	3	1	0	5874086	1322393	     0	5874086	1322393	     0	5874086	1322393	     0		
sp|Q9Y5P6|GMPPB_HUMAN	Q9Y5P6	GMPPB_HUMAN	GMPPB	360	24.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mannose-1-phosphate guanyltransferase beta 	1.0000	0.9990	6	9	9	9	6	2	1	6	2	1	6	2	1	18886237	2973858	2831902	18886237	2973858	2831902	18886237	2973858	2831902		
sp|Q9Y5S9|RBM8A_HUMAN	Q9Y5S9	RBM8A_HUMAN	RBM8A	174	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 8A 	1.0000	0.9990	5	17	17	17	6	5	6	6	5	6	6	5	6	53654444	19526102	35837426	53654444	19526102	35837426	53654444	19526102	35837426		
sp|Q9Y5U8|MPC1_HUMAN	Q9Y5U8	MPC1_HUMAN	MPC1	109	28.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial pyruvate carrier 1 	1.0000	0.9984	4	5	5	5	3	0	2	3	0	2	3	0	2	24080525	     0	19864670	24080525	     0	19864670	24080525	     0	19864670		
sp|Q9Y5X1|SNX9_HUMAN	Q9Y5X1	SNX9_HUMAN	SNX9	595	16.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-9 	1.0000	0.9990	9	11	11	11	8	2	1	8	2	1	8	2	1	126005464	2459563	4970181	126005464	2459563	4970181	126005464	2459563	4970181		
sp|Q9Y5X2|SNX8_HUMAN	Q9Y5X2	SNX8_HUMAN	SNX8	465	11.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-8 	1.0000	0.9990	4	7	7	7	4	1	2	4	1	2	4	1	2	40075566	439032	1163583	40075566	439032	1163583	40075566	439032	1163583		
sp|Q9Y5X3|SNX5_HUMAN	Q9Y5X3	SNX5_HUMAN	SNX5	404	41.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sorting nexin-5 	1.0000	0.9990	15	36	35	36	16	8	12	15	8	12	16	8	12	60286469	9305991	9597195	60235299	9305991	9597195	60286469	9305991	9597195		
sp|Q9Y5Y2|NUBP2_HUMAN	Q9Y5Y2	NUBP2_HUMAN	NUBP2	271	27.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic Fe-S cluster assembly factor NUBP2 	1.0000	0.9990	4	8	7	8	5	1	2	5	1	1	5	1	2	5416083	967558	2200107	5416083	967558	473635	5416083	967558	2200107		
sp|Q9Y5Z4|HEBP2_HUMAN	Q9Y5Z4	HEBP2_HUMAN	HEBP2	205	67.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heme-binding protein 2 	1.0000	0.9990	13	31	31	31	15	6	10	15	6	10	15	6	10	35042813	9073554	16025623	35042813	9073554	16025623	35042813	9073554	16025623		
sp|Q9Y608|LRRF2_HUMAN	Q9Y608	LRRF2_HUMAN	LRRFIP2	721	9.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine-rich repeat flightless-interacting protein 2 	1.0000	0.9990	6	6	6	8	4	1	1	4	1	1	6	1	1	5625331	1313141	1444240	5625331	1313141	1444240	7042322	1313141	1444240		
sp|Q9Y617|SERC_HUMAN	Q9Y617	SERC_HUMAN	PSAT1	370	67.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoserine aminotransferase 	1.0000	0.9990	27	156	156	156	46	68	42	46	68	42	46	68	42	393389676	109974044	56392943	393389676	109974044	56392943	393389676	109974044	56392943		
sp|Q9Y639|NPTN_HUMAN	Q9Y639	NPTN_HUMAN	NPTN	398	34.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroplastin 	1.0000	0.9990	17	45	45	47	16	22	7	16	22	7	17	23	7	111071350	133047216	170942143	111071350	133047216	170942143	111071350	133047216	170942143		
sp|Q9Y646|CBPQ_HUMAN	Q9Y646	CBPQ_HUMAN	CPQ	472	12.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase Q 	1.0000	0.9990	6	16	16	16	5	4	7	5	4	7	5	4	7	21283734	10974338	19227988	21283734	10974338	19227988	21283734	10974338	19227988		
sp|Q9Y653|AGRG1_HUMAN	Q9Y653	AGRG1_HUMAN	ADGRG1	693	15.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adhesion G-protein coupled receptor G1 	1.0000	0.9990	9	16	16	16	11	4	1	11	4	1	11	4	1	20058989	2858611	775415	20058989	2858611	775415	20058989	2858611	775415		
sp|Q9Y678|COPG1_HUMAN	Q9Y678	COPG1_HUMAN	COPG1	874	40.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit gamma-1 	1.0000	0.9990	30	65	54	65	30	16	19	27	13	14	30	16	19	99767386	34252976	36358146	87518444	21375207	21602078	99767386	34252976	36358146		
sp|Q9Y679|AUP1_HUMAN	Q9Y679	AUP1_HUMAN	AUP1	410	10.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lipid droplet-regulating VLDL assembly factor AUP1 	1.0000	0.9990	3	6	6	6	3	0	3	3	0	3	3	0	3	3717383	     0	5615276	3717383	     0	5615276	3717383	     0	5615276		
sp|Q9Y697|NFS1_HUMAN	Q9Y697	NFS1_HUMAN	NFS1	457	33.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine desulfurase, mitochondrial 	1.0000	0.9990	12	16	16	16	6	10	0	6	10	0	6	10	0	11833001	18379718	     0	11833001	18379718	     0	11833001	18379718	     0		
sp|Q9Y6A4|CFA20_HUMAN	Q9Y6A4	CFA20_HUMAN	CFAP20	193	23.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cilia- and flagella-associated protein 20 	1.0000	0.9990	4	7	7	7	5	1	1	5	1	1	5	1	1	7240298	935409	501179	7240298	935409	501179	7240298	935409	501179		
sp|Q9Y6B6|SAR1B_HUMAN	Q9Y6B6	SAR1B_HUMAN	SAR1B	198	49.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein SAR1b 	1.0000	0.9990	10	10	10	29	6	2	2	6	2	2	9	7	13	22706863	1306080	3631550	22706863	1306080	3631550	49412845	38356906	43629082		
