Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	mix_1 Spectral Count	mix_2 Spectral Count	mix_3 Spectral Count	mix_1 Unique Spectral Count	mix_2 Unique Spectral Count	mix_3 Unique Spectral Count	mix_1 Total Spectral Count	mix_2 Total Spectral Count	mix_3 Total Spectral Count	mix_1 Intensity	mix_2 Intensity	mix_3 Intensity	mix_1 Unique Intensity	mix_2 Unique Intensity	mix_3 Unique Intensity	mix_1 Total Intensity	mix_2 Total Intensity	mix_3 Total Intensity	Indistinguishable Proteins
sp|Q9H115|SNAB_HUMAN	Q9H115	SNAB_HUMAN	NAPB	298	78.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-soluble NSF attachment protein 	1.0000	0.9990	23	73	62	73	25	41	7	21	35	6	25	41	7	107765582	94267175	20878722	107765582	94267175	20878722	107765582	94267175	20878722		
sp|Q9H169|STMN4_HUMAN	Q9H169	STMN4_HUMAN	STMN4	189	14.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stathmin-4 	1.0000	0.9990	4	2	2	11	0	1	1	0	1	1	3	6	2	     0	798788	2457711	     0	798788	2457711	53028224	166524746	299427567		
sp|Q9H1A4|APC1_HUMAN	Q9H1A4	APC1_HUMAN	ANAPC1	1944	1.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Anaphase-promoting complex subunit 1 	1.0000	0.9986	3	3	3	3	2	1	0	2	1	0	2	1	0	4063752	     0	     0	4063752	     0	     0	4063752	     0	     0		
sp|Q9H1B7|I2BPL_HUMAN	Q9H1B7	I2BPL_HUMAN	IRF2BPL	796	9.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable E3 ubiquitin-protein ligase IRF2BPL 	1.0000	0.9990	6	7	6	7	3	2	2	2	2	2	3	2	2	1930403	2636743	3297184	664154	2636743	3297184	1930403	2636743	3297184		
sp|Q9H1E3|NUCKS_HUMAN	Q9H1E3	NUCKS_HUMAN	NUCKS1	243	35.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 	1.0000	0.9990	12	50	50	50	15	18	17	15	18	17	15	18	17	426034696	139058478	294179956	426034696	139058478	294179956	426034696	139058478	294179956		
sp|Q9H1E5|TMX4_HUMAN	Q9H1E5	TMX4_HUMAN	TMX4	349	16.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-related transmembrane protein 4 	1.0000	0.9990	6	9	9	9	6	2	1	6	2	1	6	2	1	25744385	17078797	8835703	25744385	17078797	8835703	25744385	17078797	8835703		
sp|Q9H1K0|RBNS5_HUMAN	Q9H1K0	RBNS5_HUMAN	RBSN	784	16.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rabenosyn-5 	1.0000	0.9990	12	20	20	20	11	7	2	11	7	2	11	7	2	14485502	30048701	5551962	14485502	30048701	5551962	14485502	30048701	5551962		
sp|Q9H1K1|ISCU_HUMAN	Q9H1K1	ISCU_HUMAN	ISCU	167	31.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial 	1.0000	0.9990	6	8	8	8	4	2	2	4	2	2	4	2	2	19008314	12042960	8202150	19008314	12042960	8202150	19008314	12042960	8202150		
sp|Q9H1K4|GHC2_HUMAN	Q9H1K4	GHC2_HUMAN	SLC25A18	315	25.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial glutamate carrier 2 	1.0000	0.9990	7	3	3	19	2	1	0	2	1	0	7	12	0	20496842	296944	     0	20496842	296944	     0	56982216	50305846	     0		
sp|Q9H1V8|S6A17_HUMAN	Q9H1V8	S6A17_HUMAN	SLC6A17	727	10.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sodium-dependent neutral amino acid transporter SLC6A17 	1.0000	0.9990	5	11	11	11	4	7	0	4	7	0	4	7	0	7826678	11739374	     0	7826678	11739374	     0	7826678	11739374	     0		
sp|Q9H1Y0|ATG5_HUMAN	Q9H1Y0	ATG5_HUMAN	ATG5	275	17.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Autophagy protein 5 	1.0000	0.9990	4	5	5	5	3	0	2	3	0	2	3	0	2	2058507	     0	2283370	2058507	     0	2283370	2058507	     0	2283370		
sp|Q9H1Z4|WDR13_HUMAN	Q9H1Z4	WDR13_HUMAN	WDR13	485	9.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 13 	1.0000	0.9990	4	4	4	4	4	0	0	4	0	0	4	0	0	3697641	     0	     0	3697641	     0	     0	3697641	     0	     0		
sp|Q9H223|EHD4_HUMAN	Q9H223	EHD4_HUMAN	EHD4	541	27.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	EH domain-containing protein 4 	1.0000	0.9990	15	18	16	31	8	2	8	7	2	7	13	7	11	10758924	4235057	9879224	10758924	4235057	9879224	21024547	13540989	17019082		
sp|Q9H254|SPTN4_HUMAN	Q9H254	SPTN4_HUMAN	SPTBN4	2564	4.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Spectrin beta chain, non-erythrocytic 4 	1.0000	0.9990	11	8	8	34	2	5	1	2	5	1	6	16	12	2355683	98325244	5371096	2355683	98325244	5371096	122014778	187469573	76292170		
sp|Q9H267|VP33B_HUMAN	Q9H267	VP33B_HUMAN	VPS33B	617	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 33B 	1.0000	0.9990	5	6	6	6	4	1	1	4	1	1	4	1	1	3080160	1014477	1729283	3080160	1014477	1729283	3080160	1014477	1729283		
sp|Q9H269|VPS16_HUMAN	Q9H269	VPS16_HUMAN	VPS16	839	6.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 16 homolog 	1.0000	0.9990	4	4	4	4	2	1	1	2	1	1	2	1	1	2518352	435070	1036375	2518352	435070	1036375	2518352	435070	1036375		
sp|Q9H270|VPS11_HUMAN	Q9H270	VPS11_HUMAN	VPS11	941	5.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 11 homolog 	1.0000	0.9990	5	8	8	8	4	1	3	4	1	3	4	1	3	6970479	1312177	7055869	6970479	1312177	7055869	6970479	1312177	7055869		
sp|Q9H299|SH3L3_HUMAN	Q9H299	SH3L3_HUMAN	SH3BGRL3	93	39.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 domain-binding glutamic acid-rich-like protein 3 	1.0000	0.9990	5	53	53	53	12	19	22	12	19	22	12	19	22	305411044	279814532	313675224	305411044	279814532	313675224	305411044	279814532	313675224		
sp|Q9H2G2|SLK_HUMAN	Q9H2G2	SLK_HUMAN	SLK	1235	15.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	STE20-like serine/threonine-protein kinase 	1.0000	0.9990	20	29	28	29	12	9	8	12	9	7	12	9	8	11622360	12804931	24088465	11622360	12804931	9458122	11622360	12804931	24088465		
sp|Q9H2H8|PPIL3_HUMAN	Q9H2H8	PPIL3_HUMAN	PPIL3	161	50.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase-like 3 	1.0000	0.9990	6	10	10	10	2	5	3	2	5	3	2	5	3	6866990	11664153	9973711	6866990	11664153	9973711	6866990	11664153	9973711		
sp|Q9H2K8|TAOK3_HUMAN	Q9H2K8	TAOK3_HUMAN	TAOK3	898	6.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase TAO3 	1.0000	0.9990	6	7	4	7	5	1	1	3	1	0	5	1	1	25098390	3517412	13641197	19372440	3517412	     0	25098390	3517412	13641197		
sp|Q9H2M9|RBGPR_HUMAN	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	1393	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab3 GTPase-activating protein non-catalytic subunit 	1.0000	0.9990	15	21	21	21	11	6	4	11	6	4	11	6	4	11526001	16310946	8313764	11526001	16310946	8313764	11526001	16310946	8313764		
sp|Q9H2P0|ADNP_HUMAN	Q9H2P0	ADNP_HUMAN	ADNP	1102	4.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Activity-dependent neuroprotector homeobox protein 	1.0000	0.9990	5	7	7	7	5	1	1	5	1	1	5	1	1	8790723	1465612	3397464	8790723	1465612	3397464	8790723	1465612	3397464		
sp|Q9H2U2|IPYR2_HUMAN	Q9H2U2	IPYR2_HUMAN	PPA2	334	21.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inorganic pyrophosphatase 2, mitochondrial 	1.0000	0.9990	7	9	9	9	7	2	0	7	2	0	7	2	0	19174826	38484386	     0	19174826	38484386	     0	19174826	38484386	     0		
sp|Q9H2X9|S12A5_HUMAN	Q9H2X9	S12A5_HUMAN	SLC12A5	1139	14.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Solute carrier family 12 member 5 	1.0000	0.9990	14	16	12	16	3	10	3	3	8	1	3	10	3	7727910	21050156	3187155	7727910	21050156	1168309	7727910	21050156	3187155		
sp|Q9H307|PININ_HUMAN	Q9H307	PININ_HUMAN	PNN	717	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pinin 	1.0000	0.9990	17	24	24	24	14	4	6	14	4	6	14	4	6	27160824	4741760	28789431	27160824	4741760	28789431	27160824	4741760	28789431		
sp|Q9H313|TTYH1_HUMAN	Q9H313	TTYH1_HUMAN	TTYH1	450	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein tweety homolog 1 	1.0000	0.9990	4	14	14	14	5	6	3	5	6	3	5	6	3	10738543	3339452	3645582	10738543	3339452	3645582	10738543	3339452	3645582		
sp|Q9H330|TM245_HUMAN	Q9H330	TM245_HUMAN	TMEM245	879	7.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 245 	1.0000	0.9990	5	9	9	9	4	3	2	4	3	2	4	3	2	21750073	6599986	13702848	21750073	6599986	13702848	21750073	6599986	13702848		
sp|Q9H3G5|CPVL_HUMAN	Q9H3G5	CPVL_HUMAN	CPVL	476	19.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable serine carboxypeptidase CPVL 	1.0000	0.9990	10	14	14	14	10	2	2	10	2	2	10	2	2	60679012	7931577	19470787	60679012	7931577	19470787	60679012	7931577	19470787		
sp|Q9H3H3|CK068_HUMAN	Q9H3H3	CK068_HUMAN	C11orf68	292	7.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0696 protein C11orf68 	1.0000	0.9990	2	6	6	6	1	3	2	1	3	2	1	3	2	1930224	4855870	2616141	1930224	4855870	2616141	1930224	4855870	2616141		
sp|Q9H3K6|BOLA2_HUMAN	Q9H3K6	BOLA2_HUMAN	BOLA2B	86	51.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	BolA-like protein 2 	1.0000	0.9990	4	9	9	9	3	3	3	3	3	3	3	3	3	47509416	17792044	14904786	47509416	17792044	14904786	47509416	17792044	14904786		
sp|Q9H3N1|TMX1_HUMAN	Q9H3N1	TMX1_HUMAN	TMX1	280	27.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-related transmembrane protein 1 	1.0000	0.9990	11	33	33	33	15	6	12	15	6	12	15	6	12	82307958	15559514	47792564	82307958	15559514	47792564	82307958	15559514	47792564		
sp|Q9H3Q1|BORG4_HUMAN	Q9H3Q1	BORG4_HUMAN	CDC42EP4	356	45.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cdc42 effector protein 4 	1.0000	0.9990	12	36	36	36	15	13	8	15	13	8	15	13	8	54224332	23815302	29692762	54224332	23815302	29692762	54224332	23815302	29692762		
sp|Q9H3S7|PTN23_HUMAN	Q9H3S7	PTN23_HUMAN	PTPN23	1636	6.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 23 	1.0000	0.9990	10	14	14	14	6	5	3	6	5	3	6	5	3	16821087	12259835	4765664	16821087	12259835	4765664	16821087	12259835	4765664		
sp|Q9H3U1|UN45A_HUMAN	Q9H3U1	UN45A_HUMAN	UNC45A	944	22.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-45 homolog A 	1.0000	0.9990	18	24	24	24	14	3	7	14	3	7	14	3	7	20728634	8911859	4758229	20728634	8911859	4758229	20728634	8911859	4758229		
sp|Q9H3Z4|DNJC5_HUMAN	Q9H3Z4	DNJC5_HUMAN	DNAJC5	198	59.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 5 	1.0000	0.9990	7	27	27	27	7	15	5	7	15	5	7	15	5	182347582	112147960	25602637	182347582	112147960	25602637	182347582	112147960	25602637		
sp|Q9H425|CA198_HUMAN	Q9H425	CA198_HUMAN	C1orf198	327	52.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uncharacterized protein C1orf198 	1.0000	0.9990	18	35	35	35	13	15	7	13	15	7	13	15	7	31017039	27054928	11658665	31017039	27054928	11658665	31017039	27054928	11658665		
sp|Q9H446|RWDD1_HUMAN	Q9H446	RWDD1_HUMAN	RWDD1	243	11.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	RWD domain-containing protein 1 	1.0000	0.9990	3	6	6	6	3	1	2	3	1	2	3	1	2	14476826	6788403	16370484	14476826	6788403	16370484	14476826	6788403	16370484		
sp|Q9H479|FN3K_HUMAN	Q9H479	FN3K_HUMAN	FN3K	309	41.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fructosamine-3-kinase 	1.0000	0.9990	13	40	40	40	14	14	12	14	14	12	14	14	12	37771173	30205226	20878897	37771173	30205226	20878897	37771173	30205226	20878897		
sp|Q9H488|OFUT1_HUMAN	Q9H488	OFUT1_HUMAN	POFUT1	388	21.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	GDP-fucose protein O-fucosyltransferase 1 	1.0000	0.9990	6	9	9	9	6	1	2	6	1	2	6	1	2	11031885	1100074	3154908	11031885	1100074	3154908	11031885	1100074	3154908		
sp|Q9H492|MLP3A_HUMAN	Q9H492	MLP3A_HUMAN	MAP1LC3A	121	36.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3A 	1.0000	0.9990	6	27	18	27	8	13	6	4	10	4	8	13	6	114173456	155543810	98895915	25638016	18800092	3238285	114173456	155543810	98895915		
sp|Q9H4A4|AMPB_HUMAN	Q9H4A4	AMPB_HUMAN	RNPEP	650	22.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aminopeptidase B 	1.0000	0.9990	14	31	31	31	13	8	10	13	8	10	13	8	10	33041351	8182096	18590632	33041351	8182096	18590632	33041351	8182096	18590632		
sp|Q9H4F8|SMOC1_HUMAN	Q9H4F8	SMOC1_HUMAN	SMOC1	434	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	SPARC-related modular calcium-binding protein 1 	1.0000	0.9990	5	6	6	6	3	1	2	3	1	2	3	1	2	2368373	1501884	8729578	2368373	1501884	8729578	2368373	1501884	8729578		
sp|Q9H4G0|E41L1_HUMAN	Q9H4G0	E41L1_HUMAN	EPB41L1	881	44.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Band 4.1-like protein 1 	1.0000	0.9990	35	66	64	71	31	29	6	30	29	5	33	31	7	72524472	101520982	32236624	72524472	101520982	32236624	87410694	101520982	34299194		
sp|Q9H4G4|GAPR1_HUMAN	Q9H4G4	GAPR1_HUMAN	GLIPR2	154	59.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi-associated plant pathogenesis-related protein 1 	1.0000	0.9990	8	36	36	36	10	14	12	10	14	12	10	14	12	119903512	64980227	33580350	119903512	64980227	33580350	119903512	64980227	33580350		
sp|Q9H4M9|EHD1_HUMAN	Q9H4M9	EHD1_HUMAN	EHD1	534	45.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	EH domain-containing protein 1 	1.0000	0.9990	24	33	33	59	16	9	8	16	9	8	25	21	13	25231258	6971385	7843666	25231258	6971385	7843666	65398805	76959230	37551638		
sp|Q9H553|ALG2_HUMAN	Q9H553	ALG2_HUMAN	ALG2	416	16.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-1,3/1,6-mannosyltransferase ALG2 	1.0000	0.9990	5	6	6	6	5	0	1	5	0	1	5	0	1	4246102	     0	4916584	4246102	     0	4916584	4246102	     0	4916584		
sp|Q9H598|VIAAT_HUMAN	Q9H598	VIAAT_HUMAN	SLC32A1	525	8.60	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Vesicular inhibitory amino acid transporter 	1.0000	0.9990	3	3	3	3	1	2	0	1	2	0	1	2	0	2881543	4209882	     0	2881543	4209882	     0	2881543	4209882	     0		
sp|Q9H5N1|RABE2_HUMAN	Q9H5N1	RABE2_HUMAN	RABEP2	569	24.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab GTPase-binding effector protein 2 	1.0000	0.9990	12	14	14	14	9	3	2	9	3	2	9	3	2	8946278	7419996	2585080	8946278	7419996	2585080	8946278	7419996	2585080		
sp|Q9H6F5|CCD86_HUMAN	Q9H6F5	CCD86_HUMAN	CCDC86	360	8.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 86 	1.0000	0.9990	3	3	3	3	3	0	0	3	0	0	3	0	0	6836494	     0	     0	6836494	     0	     0	6836494	     0	     0		
sp|Q9H6K5|PRR36_HUMAN	Q9H6K5	PRR36_HUMAN	PRR36	1346	6.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proline-rich protein 36 	1.0000	0.9990	6	8	8	8	4	2	2	4	2	2	4	2	2	7071531	9392527	6464629	7071531	9392527	6464629	7071531	9392527	6464629		
sp|Q9H6R3|ACSS3_HUMAN	Q9H6R3	ACSS3_HUMAN	ACSS3	686	18.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-CoA synthetase short-chain family member 3, mitochondrial 	1.0000	0.9990	10	14	14	14	7	4	3	7	4	3	7	4	3	6528972	7218273	30848941	6528972	7218273	30848941	6528972	7218273	30848941		
sp|Q9H6X2|ANTR1_HUMAN	Q9H6X2	ANTR1_HUMAN	ANTXR1	564	6.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Anthrax toxin receptor 1 	1.0000	0.9990	4	4	4	4	4	0	0	4	0	0	4	0	0	6440402	     0	     0	6440402	     0	     0	6440402	     0	     0		
sp|Q9H6Z4|RANB3_HUMAN	Q9H6Z4	RANB3_HUMAN	RANBP3	567	8.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ran-binding protein 3 	1.0000	0.9990	5	8	8	8	3	3	2	3	3	2	3	3	2	10819474	4366221	4071153	10819474	4366221	4071153	10819474	4366221	4071153		
sp|Q9H773|DCTP1_HUMAN	Q9H773	DCTP1_HUMAN	DCTPP1	170	21.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	dCTP pyrophosphatase 1 	1.0000	0.9990	4	6	6	6	3	2	1	3	2	1	3	2	1	3962870	2126862	1216941	3962870	2126862	1216941	3962870	2126862	1216941		
sp|Q9H7B2|RPF2_HUMAN	Q9H7B2	RPF2_HUMAN	RPF2	306	14.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosome production factor 2 homolog 	1.0000	0.9990	4	4	4	4	3	0	1	3	0	1	3	0	1	8103315	     0	1242394	8103315	     0	1242394	8103315	     0	1242394		
sp|Q9H7B4|SMYD3_HUMAN	Q9H7B4	SMYD3_HUMAN	SMYD3	428	8.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone-lysine N-methyltransferase SMYD3 	1.0000	0.9990	3	3	3	3	1	2	0	1	2	0	1	2	0	44138128	1431958	     0	44138128	1431958	     0	44138128	1431958	     0		
sp|Q9H7C9|AAMDC_HUMAN	Q9H7C9	AAMDC_HUMAN	AAMDC	122	57.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mth938 domain-containing protein 	1.0000	0.9990	7	12	12	12	4	1	7	4	1	7	4	1	7	14234951	3612729	33735565	14234951	3612729	33735565	14234951	3612729	33735565		
sp|Q9H7D0|DOCK5_HUMAN	Q9H7D0	DOCK5_HUMAN	DOCK5	1870	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dedicator of cytokinesis protein 5 	1.0000	0.9990	4	4	4	4	3	1	0	3	1	0	3	1	0	5943717	907590	     0	5943717	907590	     0	5943717	907590	     0		
sp|Q9H7D7|WDR26_HUMAN	Q9H7D7	WDR26_HUMAN	WDR26	661	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 26 	1.0000	0.9990	5	6	6	6	4	1	1	4	1	1	4	1	1	9223270	5058064	1225862	9223270	5058064	1225862	9223270	5058064	1225862		
sp|Q9H7N4|SFR19_HUMAN	Q9H7N4	SFR19_HUMAN	SCAF1	1312	2.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor, arginine/serine-rich 19 	1.0000	0.9990	3	3	3	3	2	0	1	2	0	1	2	0	1	1875716	     0	     0	1875716	     0	     0	1875716	     0	     0		
sp|Q9H7P6|MB12B_HUMAN	Q9H7P6	MB12B_HUMAN	MVB12B	319	20.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Multivesicular body subunit 12B 	1.0000	0.9990	3	4	4	4	2	2	0	2	2	0	2	2	0	1142790	3291875	     0	1142790	3291875	     0	1142790	3291875	     0		
sp|Q9H7Z7|PGES2_HUMAN	Q9H7Z7	PGES2_HUMAN	PTGES2	377	34.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prostaglandin E synthase 2 	1.0000	0.9990	11	23	23	23	6	11	6	6	11	6	6	11	6	9997610	25771846	13869644	9997610	25771846	13869644	9997610	25771846	13869644		
sp|Q9H832|UBE2Z_HUMAN	Q9H832	UBE2Z_HUMAN	UBE2Z	354	10.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 Z 	1.0000	0.9990	4	5	5	5	3	2	0	3	2	0	3	2	0	7655401	2353458	     0	7655401	2353458	     0	7655401	2353458	     0		
sp|Q9H8H3|MET7A_HUMAN	Q9H8H3	MET7A_HUMAN	METTL7A	244	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methyltransferase-like protein 7A 	1.0000	0.9990	5	32	32	32	7	7	18	7	7	18	7	7	18	73182292	6682322	8494066	73182292	6682322	8494066	73182292	6682322	8494066		
sp|Q9H8L6|MMRN2_HUMAN	Q9H8L6	MMRN2_HUMAN	MMRN2	949	8.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Multimerin-2 	1.0000	0.9990	6	8	8	8	6	1	1	6	1	1	6	1	1	25821324	2183920	5049806	25821324	2183920	5049806	25821324	2183920	5049806		
sp|Q9H8M7|MINY3_HUMAN	Q9H8M7	MINY3_HUMAN	MINDY3	445	7.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase MINDY-3 	1.0000	0.9990	3	8	8	8	3	2	3	3	2	3	3	2	3	3537507	695936	2007593	3537507	695936	2007593	3537507	695936	2007593		
sp|Q9H910|JUPI2_HUMAN	Q9H910	JUPI2_HUMAN	JPT2	190	38.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Jupiter microtubule associated homolog 2 	1.0000	0.9990	7	12	12	12	6	4	2	6	4	2	6	4	2	10741223	6286333	5169605	10741223	6286333	5169605	10741223	6286333	5169605		
sp|Q9H936|GHC1_HUMAN	Q9H936	GHC1_HUMAN	SLC25A22	323	49.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial glutamate carrier 1 	1.0000	0.9990	13	38	22	38	14	21	3	9	10	3	14	21	3	72466118	107799576	4846094	56189376	100803540	4846094	72466118	107799576	4846094		
sp|Q9H993|ARMT1_HUMAN	Q9H993	ARMT1_HUMAN	ARMT1	441	26.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Damage-control phosphatase ARMT1 	1.0000	0.9990	8	14	14	14	7	4	3	7	4	3	7	4	3	11450170	15256754	11832033	11450170	15256754	11832033	11450170	15256754	11832033		
sp|Q9H9A6|LRC40_HUMAN	Q9H9A6	LRC40_HUMAN	LRRC40	602	10.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine-rich repeat-containing protein 40 	1.0000	0.9990	7	12	12	12	6	3	3	6	3	3	6	3	3	11251438	8262083	8725058	11251438	8262083	8725058	11251438	8262083	8725058		
sp|Q9H9B4|SFXN1_HUMAN	Q9H9B4	SFXN1_HUMAN	SFXN1	322	33.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sideroflexin-1 	1.0000	0.9990	11	44	44	44	13	22	9	13	22	9	13	22	9	51220572	64030203	29016711	51220572	64030203	29016711	51220572	64030203	29016711		
sp|Q9H9E3|COG4_HUMAN	Q9H9E3	COG4_HUMAN	COG4	785	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Conserved oligomeric Golgi complex subunit 4 	1.0000	0.9990	4	4	4	4	3	1	0	3	1	0	3	1	0	4702022	624916	     0	4702022	624916	     0	4702022	624916	     0		
sp|Q9H9H4|VP37B_HUMAN	Q9H9H4	VP37B_HUMAN	VPS37B	285	21.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37B 	1.0000	0.9990	3	5	5	5	1	2	2	1	2	2	1	2	2	1338059	807553	1084003	1338059	807553	1084003	1338059	807553	1084003		
sp|Q9H9H5|MA6D1_HUMAN	Q9H9H5	MA6D1_HUMAN	MAP6D1	199	77.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	MAP6 domain-containing protein 1 	1.0000	0.9990	12	25	25	25	14	7	4	14	7	4	14	7	4	21905496	9718564	9258814	21905496	9718564	9258814	21905496	9718564	9258814		
sp|Q9H9S4|CB39L_HUMAN	Q9H9S4	CB39L_HUMAN	CAB39L	337	13.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-binding protein 39-like 	1.0000	0.9990	6	5	5	9	2	2	1	2	2	1	4	3	2	2272339	3548010	4642615	2272339	3548010	4642615	13697473	12810478	11041157		
sp|Q9H9T3|ELP3_HUMAN	Q9H9T3	ELP3_HUMAN	ELP3	547	13.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Elongator complex protein 3 	1.0000	0.9990	6	7	7	7	3	2	2	3	2	2	3	2	2	1102834	4234324	1545648	1102834	4234324	1545648	1102834	4234324	1545648		
sp|Q9HA64|KT3K_HUMAN	Q9HA64	KT3K_HUMAN	FN3KRP	309	30.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ketosamine-3-kinase 	1.0000	0.9990	8	11	11	11	6	4	1	6	4	1	6	4	1	29581026	10962425	1332216	29581026	10962425	1332216	29581026	10962425	1332216		
sp|Q9HA65|TBC17_HUMAN	Q9HA65	TBC17_HUMAN	TBC1D17	648	10.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 17 	1.0000	0.9990	6	6	6	6	4	2	0	4	2	0	4	2	0	6931252	11960632	     0	6931252	11960632	     0	6931252	11960632	     0		
sp|Q9HA77|SYCM_HUMAN	Q9HA77	SYCM_HUMAN	CARS2	564	6.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable cysteine--tRNA ligase, mitochondrial 	1.0000	0.9990	3	4	4	4	2	1	1	2	1	1	2	1	1	81067438	2649690	1877652	81067438	2649690	1877652	81067438	2649690	1877652		
